分类,模型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,模型R²,调整R²,模型整体F检验p值,样本数,验证起点,验证RMSE,验证MAE,验证MAPE,校正后q值,售价检验结论,比较用途
花叶类,对数主模型,-0.7950517001280198,0.12145136449219722,9.151280613460195e-11,-1.0333625796026995,-0.5567408206533401,0.4229428989949453,0.41319897046015075,9.68923911063227e-114,1085,2022-11-21,81.0631867169091,49.43634852248611,30.20095296583374,1.830256122692039e-10,通过多重检验校正,主模型
花菜类,对数主模型,-1.0673360170463393,0.11864722875217151,1.051735759738021e-18,-1.300145141602287,-0.8345268924903916,0.27382300829215345,0.26153805918431394,6.651412277584474e-62,1083,2022-11-21,19.21506909993476,11.21934575740242,51.38967487721074,6.310414558428127e-18,通过多重检验校正,主模型
水生根茎类,对数主模型,-0.6155981729215585,0.20177428781529635,0.00233779184137142,-1.0115180391634047,-0.21967830667971233,0.4578302969801842,0.44867546146953063,6.682726466593589e-128,1085,2022-11-21,31.169519638535895,17.568639152844423,65.29498940255648,0.00350668776205713,通过多重检验校正,主模型
茄类,对数主模型,-0.40295482810509353,0.16500334691621385,0.014769207248277532,-0.7267355470463007,-0.07917410916388634,0.4165140135825105,0.4063270613463177,3.0039749000477065e-107,1050,2022-11-27,10.324669408868912,7.642003484980222,72.68293244100371,0.017723048697933036,通过多重检验校正,主模型
辣椒类,对数主模型,-0.6346499616294873,0.0816290078035786,1.7735619056116698e-14,-0.7948217367400592,-0.4744781865189154,0.4263660627141628,0.4166799361933887,4.3343573792304e-115,1085,2022-11-21,58.790459256829614,34.279891977663944,37.27520144932146,5.32068571683501e-14,通过多重检验校正,主模型
食用菌,对数主模型,-0.16834598851778185,0.13764060491018637,0.2215683735721112,-0.4384232638511585,0.10173128681559482,0.3670933484404628,0.3564063693334537,7.604191536945948e-93,1085,2022-11-21,51.46712279812328,31.564828298726216,54.443219656609934,0.2215683735721112,未通过多重检验校正,主模型
花叶类,线性对照模型,-22.015377193610973,3.442203264117917,2.386848045897655e-10,-28.76964043826358,-15.26111394895837,0.35035708722447645,0.3393875070838015,5.77259322760459e-87,1085,2022-11-21,79.82619599498804,48.5449148847831,30.247018615732312,,,线性对照
花菜类,线性对照模型,-3.5126953143224044,0.3779946256733853,8.227022881358352e-20,-4.254394878782424,-2.7709957498623843,0.3104822529247896,0.2988174790081036,1.941497165994215e-73,1083,2022-11-21,18.11507887087062,11.467745155869007,53.88196913443481,,,线性对照
水生根茎类,线性对照模型,-1.2224924266371588,0.7253217716525292,0.09219475677207545,-2.6457129069286927,0.20072805365437496,0.3370066907624565,0.3258116817884642,2.1672069246490957e-82,1085,2022-11-21,27.357757108049142,14.735178636018428,62.26381936662013,,,线性对照
茄类,线性对照模型,-0.505693082301399,0.4342845298691391,0.24451996058071562,-1.3578755375910794,0.3464893729882814,0.3264966061718082,0.3147380600137991,5.710918501868528e-76,1050,2022-11-27,10.480164401636921,7.8060388513135575,73.48262668405857,,,线性对照
辣椒类,线性对照模型,-4.133429960109801,1.226894824643978,0.0007813635853617923,-6.5408330049938606,-1.7260269152257415,0.25161169974971187,0.2389747490888252,2.358772786548469e-55,1085,2022-11-21,61.20508631190277,37.512703561913455,37.812915816028045,,,线性对照
食用菌,线性对照模型,-1.4185132258116928,0.8560306810245938,0.09779710640908683,-3.0982096648367667,0.2611832132133811,0.30847486820344094,0.2967980836140056,6.076467676801587e-73,1085,2022-11-21,51.20371898680218,31.781931851177163,58.40093541138715,,,线性对照
花叶类,对数趋势敏感性,-0.9034634933259534,0.1251565618655078,9.966775489381715e-13,-1.1490449430556149,-0.657882043596292,0.45334288209623463,0.4435903137956041,3.5573199215204315e-125,1085,2022-11-21,105.11043258187554,75.43595250498542,40.3280342043181,,,时间趋势敏感性
花菜类,对数趋势敏感性,-1.0360395323714138,0.13059053660449185,5.3731862426176566e-15,-1.29228404303465,-0.7797950217081775,0.2754013332337757,0.2624498989265712,1.054520500489883e-61,1083,2022-11-21,19.02639524419621,11.256265072260703,46.76088639960691,,,时间趋势敏感性
水生根茎类,对数趋势敏感性,-0.4898726763483478,0.19412655603445073,0.011764867616489906,-0.8707866320480635,-0.10895872064863205,0.4699813294455236,0.4605255972947865,3.431136330660031e-132,1085,2022-11-21,35.16335905544175,21.067551053554013,80.50575985309135,,,时间趋势敏感性
茄类,对数趋势敏感性,-0.15460904995279226,0.15635178382904377,0.32296692910706115,-0.46141343718087346,0.15219533727528892,0.4934779329267518,0.48413432198074047,1.887673792570141e-137,1050,2022-11-27,10.70436406708765,6.8758330557111895,42.17235351268913,,,时间趋势敏感性
辣椒类,对数趋势敏感性,-0.5648686351909703,0.0927464462609157,1.5701226903790757e-09,-0.7468551518428546,-0.38288211853908605,0.43095833571925,0.4208064187039128,4.425616375922147e-116,1085,2022-11-21,60.05323019232021,35.904741851552465,38.53035975192322,,,时间趋势敏感性
食用菌,对数趋势敏感性,-0.1962114273135585,0.17582445212559655,0.26469494666822857,-0.541213105270544,0.14879025064342705,0.36747308408153523,0.3561885663327552,3.317986843345642e-92,1085,2022-11-21,58.93600706076578,39.80113365704987,58.550794496326716,,,时间趋势敏感性
