分类,分组类型,分组,样本天数,平均售价,平均日销量,销量中位数,销量标准差,线性相关,对数相关
花叶类,整体,全部日期,1085,5.725391646897101,170.7395870967742,160.384,81.36305611628732,-0.2113203354225769,-0.22308311957983454
花叶类,月份,1月,91,5.081843440337345,187.6437802197802,177.80100000000002,80.23035551900986,0.48078147023376544,0.5496760475402632
花叶类,月份,2月,82,5.734505220439484,168.55669512195124,158.45499999999998,71.86964131576363,-0.02718766197014228,-0.11757674860324153
花叶类,月份,3月,93,6.023217453529262,136.03205376344087,128.813,52.53981808473944,-0.22528750683364324,-0.23468223486668785
花叶类,月份,4月,90,5.463772683751007,138.85845555555554,134.37900000000002,45.167705612481086,-0.04564364378285841,-0.06582431824115287
花叶类,月份,5月,93,5.487740279552229,145.02009677419355,140.823,46.9234955071561,-0.5678103602263816,-0.5999203567776799
花叶类,月份,6月,90,5.172240896268539,141.37016666666665,125.2935,41.74190029383484,0.10638994344681181,0.1118175034327523
花叶类,月份,7月,93,6.484833695704547,176.60912903225807,173.864,41.241545156243525,0.09124152522802649,0.09586832012219879
花叶类,月份,8月,93,6.358359942317429,243.16402150537627,238.428,55.74824159148888,-0.5358045292666885,-0.5214672121944053
花叶类,月份,9月,90,7.077360261905086,180.16037777777777,170.422,66.62197896004223,-0.34399252866788,-0.31108293673245657
花叶类,月份,10月,93,6.7404947905794375,187.25592473118283,170.212,92.41664279609378,-0.5328554973997545,-0.5541538225109327
花叶类,月份,11月,87,5.07070913807219,163.699183908046,141.0,161.48817865782496,-0.5021041030123964,-0.6888976295306137
花叶类,月份,12月,90,3.913503576829019,178.7425111111111,179.654,83.17542432109535,-0.7354613313977939,-0.7873172787543676
花叶类,季度,第1季度,266,5.612166933552472,163.7150902255639,157.3485,72.08392141956496,0.02308682729976151,0.004102896248261067
花叶类,季度,第2季度,273,5.3758280886451155,141.78551282051285,134.419,44.59663003236233,-0.20440247859409905,-0.22728491860016303
花叶类,季度,第3季度,276,6.635432724302542,200.19325,191.7645,63.15919522959423,-0.3525642965509547,-0.3288952817594939
花叶类,季度,第4季度,270,5.260122342410296,176.8276148148148,163.117,116.79830697313896,-0.41914752622824025,-0.5078509933225712
花叶类,季节,冬季,263,4.88552282532832,178.6466121673004,175.262,78.85481737229804,-0.1075034626755083,-0.174803194812325
花叶类,季节,夏季,276,6.014198148551494,187.54426811594203,182.73399999999998,62.90487606433758,0.04371473811203799,0.09033847515432443
花叶类,季节,春季,276,5.660357285196265,139.98228623188407,134.37900000000002,48.317988779651216,-0.27897383313382,-0.3048596161943227
花叶类,季节,秋季,270,6.314741237435651,177.30023703703702,162.7095,113.24177982901554,-0.39478845379836847,-0.38030504353061445
花叶类,节假日,中秋,6,7.533426964183675,260.0353333333333,237.225,77.51028320337028,-0.7928045755094433,-0.8472411684083049
花叶类,节假日,劳动节,15,5.5707729165522855,162.37926666666667,160.855,45.212736126744936,-0.7654144499565914,-0.7952994008012568
花叶类,节假日,国庆,14,6.1602341299694325,248.71985714285717,237.69650000000001,96.70886044909555,-0.8064005579007663,-0.8477656984410059
花叶类,节假日,国庆及中秋,8,7.567477857419195,261.197125,253.363,28.43970142719254,-0.5640350134510571,-0.5639010247902624
花叶类,节假日,春节,17,6.884395008211183,205.7143529411765,216.497,70.47712060213334,-0.2734677977612333,-0.3538952812842983
花叶类,节假日,清明,7,6.473269555314486,166.73114285714286,178.469,40.30808604746104,-0.1830658154122732,-0.22800281226147032
花叶类,节假日,端午,9,5.0561117355906395,161.20655555555555,163.919,38.123567665261575,0.6517538973495087,0.6395960418004598
花叶类,节假日,非节假日,1009,5.677554086247707,168.0572596630327,156.737,81.28922515577668,-0.23463762224589904,-0.2487712903960071
花菜类,整体,全部日期,1083,9.573044525407452,36.52021237303786,32.341,22.87136960958115,-0.3166340834537673,-0.3084784669990131
花菜类,月份,1月,91,9.77854274061326,44.502703296703295,38.027,23.48630826649363,0.049948081390463285,0.0862407610219674
花菜类,月份,2月,82,8.704715459425548,40.927097560975604,35.3645,24.665530496661177,-0.1354492472230201,-0.1572916452639097
花菜类,月份,3月,92,9.581662722359704,25.01873913043479,24.389499999999998,16.04818883476432,-0.46188799434622446,-0.36204222139468495
花菜类,月份,4月,90,9.804740782350219,26.81575555555556,21.621000000000002,19.451733437276395,-0.6608471461364989,-0.6294608398985829
花菜类,月份,5月,93,8.398486161959886,28.06919354838709,26.422,12.19659943631658,-0.3849498621995924,-0.3250131213903064
花菜类,月份,6月,90,10.392273574966445,27.167155555555553,23.379,14.174996749626967,-0.5051456588622413,-0.5670606338376256
花菜类,月份,7月,93,9.533848157753088,44.08696774193548,44.4,14.167955122657744,0.03603054366409405,0.09173053431957201
花菜类,月份,8月,93,9.621873992428407,47.94241935483871,50.065,32.96194562849269,-0.461180052052571,-0.3180363071791649
花菜类,月份,9月,90,11.123428904243752,36.96865555555556,37.234,19.04220885247162,0.19318385921515216,0.16634060380111687
花菜类,月份,10月,92,11.459418598192386,39.68184782608696,34.653,23.335467951255254,-0.5657643135352795,-0.7063439606410099
花菜类,月份,11月,87,8.37280313078981,42.852586206896554,36.972,32.16488294403585,-0.6040131588091114,-0.6160266541064048
花菜类,月份,12月,90,7.981983816760851,34.5576,30.2085,16.55182579955687,-0.45623330766196246,-0.5510478159707161
花菜类,季度,第1季度,265,9.377913311418093,36.63204528301886,32.217,23.185551622418227,-0.10848798559364013,-0.15240404243905642
花菜类,季度,第2季度,273,9.519379140002817,27.35859706959707,23.847,15.496698950630162,-0.534747810584837,-0.5026280934875266
花菜类,季度,第3季度,276,10.081850584597163,43.064898550724635,43.3035,23.84423996014432,-0.20136003395576244,-0.11715291664472481
花菜类,季度,第4季度,269,9.297691178144568,38.99289591078067,32.726,24.889326442278808,-0.4807301435699254,-0.5138153913845521
花菜类,季节,冬季,263,8.828945249342883,39.98460836501901,34.072,22.093479314755584,-0.07673579021079138,-0.11975239054592703
花菜类,季节,夏季,276,9.843430368528477,39.86875724637681,39.4645,24.010890297888164,-0.3407497676157611,-0.29450300034146054
花菜类,季节,春季,275,9.25454128702139,26.638461818181817,24.448,16.123572791516086,-0.525471326788986,-0.430107275327331
花菜类,季节,秋季,269,10.348732285480855,39.7995687732342,36.875,25.358087216576465,-0.46390924849074594,-0.38338938201311396
花菜类,节假日,中秋,6,11.994927062921837,62.32916666666666,61.6545,8.423087211151662,0.3698325329379652,0.3830931677468674
花菜类,节假日,劳动节,15,8.16728334229621,28.214133333333333,28.319,13.572887685522543,-0.651178099447956,-0.43541845727548173
花菜类,节假日,国庆,14,10.497872070906466,46.99692857142856,42.2225,16.879874919625376,-0.28519944909025147,-0.3002464492237154
花菜类,节假日,国庆及中秋,8,10.351974226982051,65.283125,57.0685,25.433584475410797,-0.47939892891610913,-0.4831145838376985
花菜类,节假日,春节,17,9.717313070149793,47.55352941176471,41.123,26.508913706331047,0.6097308166630644,0.4861424684485508
花菜类,节假日,清明,7,10.109716968729824,40.14171428571428,35.593,26.83074286283234,-0.7512136632258474,-0.3956234854037348
花菜类,节假日,端午,9,10.32651226117508,32.38944444444444,21.97,23.88399104060663,-0.7966789576796829,-0.8709850304103759
花菜类,节假日,非节假日,1007,9.54760819699257,35.94148361469712,31.84,22.710524263555133,-0.34115467180711995,-0.3293570564792355
水生根茎类,整体,全部日期,1085,9.870321886261946,34.062583410138245,25.437,31.074932612041138,-0.3427109579463203,-0.44933214868160604
水生根茎类,月份,1月,91,8.228777269794955,65.52705494505494,55.56,38.904403788249596,0.36714487005236124,0.41205234391826523
水生根茎类,月份,2月,82,8.963023335283255,47.90367073170732,38.76,39.21756341203089,0.424606361701086,0.3272432397413316
水生根茎类,月份,3月,93,8.879678453798636,26.68035483870968,24.482,11.676487578300213,-0.047456618947278845,-0.02242965671741322
水生根茎类,月份,4月,90,10.182859034364808,15.222955555555556,12.867999999999999,9.706027589649445,-0.10574070578193126,-0.056060114710157365
水生根茎类,月份,5月,93,12.527812677659728,9.518559139784946,8.812,5.520733632058188,-0.15155875329626442,-0.16758109944233834
水生根茎类,月份,6月,90,16.745457085428992,12.373522222222222,10.4695,6.489016558212736,-0.2423750901335461,-0.25451004934349164
水生根茎类,月份,7月,93,12.789878632919299,26.674021505376345,14.099,28.84090165590562,-0.6149052918140725,-0.5894872350777351
水生根茎类,月份,8月,93,9.346553010737441,43.41918279569892,30.005,33.09772758945525,-0.7609309548996136,-0.6957928242273003
水生根茎类,月份,9月,90,8.117638854587302,40.065200000000004,37.263999999999996,25.93629581038983,-0.31545540214143886,-0.44125924448315224
水生根茎类,月份,10月,93,7.647875263870843,40.52487096774193,37.728,28.17094908312532,-0.03143003577847709,-0.034040004759788633
水生根茎类,月份,11月,87,7.731768656224919,31.218022988505744,20.615,36.68347972892868,-0.038070091282740776,0.12065100930625788
水生根茎类,月份,12月,90,7.087506257089815,51.19267777777778,51.6635,22.219030224302983,0.15359583721250863,0.1578654053814877
水生根茎类,季度,第1季度,266,8.682694515969326,46.512541353383455,40.081,35.975919610680315,0.2207555975085954,0.12507484046363454
水生根茎类,季度,第2季度,273,13.145183259354567,12.340326007326007,10.336,7.7707158037652695,-0.17656164316087053,-0.11389973190551249
水生根茎类,季度,第3季度,276,10.106071158597587,36.68310144927536,27.875,30.256084221143745,-0.5816468422004392,-0.6588956747565324
水生根茎类,季度,第4季度,270,7.488117910257924,41.08193333333334,36.498000000000005,30.508199270062775,-0.058660694105322146,-0.04015474401570545
水生根茎类,季节,冬季,263,8.067156685105136,55.127011406844105,49.705,34.961885728362475,0.32287457768699596,0.24613644197857745
水生根茎类,季节,夏季,276,12.91949014691553,27.65320652173913,15.6335,28.62123868682316,-0.6323622784901887,-0.6741657406794495
水生根茎类,季节,春季,276,10.53389126202341,17.16146739130435,14.963000000000001,11.744108609032489,-0.34610342539184463,-0.3741055205870541
水生根茎类,季节,秋季,270,7.831495442757086,37.37277407407408,32.26,30.697064424583953,-0.1296971069522074,-0.07196627121131344
