销售日期,分类名称,日总销量,日销售额,条数,单品数,日批发成本,批发价覆盖销量,日平均售价,日加权批发价,月份,星期,月份_02,月份_03,月份_04,月份_05,月份_06,月份_07,月份_08,月份_09,月份_10,月份_11,月份_12,星期_2,星期_3,星期_4,星期_5,星期_6,星期_7
2020-07-01,水生根茎类,4.85,70.2838,15,2,44.78568,15,14.491505154639176,2.985712,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-07-02,水生根茎类,4.6,53.1208,14,2,32.63124,14,11.548000000000002,2.330802857142857,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-03,水生根茎类,4.41,44.1,15,1,24.7401,15,10.0,1.64934,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-07-04,水生根茎类,5.439,118.7532,16,2,76.22823,16,21.83364589078875,4.764264375,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-07-05,水生根茎类,4.019,40.19,12,1,21.782980000000002,12,10.0,1.8152483333333336,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-07-06,水生根茎类,2.708,27.080000000000002,10,1,14.758600000000001,10,10.0,1.4758600000000002,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,水生根茎类,3.117,31.17,11,1,17.01882,11,10.0,1.5471654545454547,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-07-08,水生根茎类,10.605,155.484,26,2,87.09302,26,14.661386138613862,3.3497315384615383,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-07-09,水生根茎类,2.106,21.060000000000002,7,1,11.51982,7,10.000000000000002,1.6456885714285714,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-10,水生根茎类,8.781,125.046,27,2,69.862,27,14.240519303040656,2.5874814814814813,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-07-11,水生根茎类,7.406,109.712,19,2,61.39824,19,14.813934647583041,3.2314863157894735,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-07-12,水生根茎类,12.625,224.5378,32,3,143.82769,32,17.785172277227723,4.4946153125,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-07-13,水生根茎类,10.342,151.156,28,2,84.4884,28,14.615741636047186,3.017442857142857,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,水生根茎类,8.682,130.974,21,2,65.80452,21,15.08569454042847,3.1335485714285713,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-07-15,水生根茎类,9.615,144.39000000000001,22,2,72.57300000000001,22,15.017160686427458,3.2987727272727274,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-07-16,水生根茎类,10.183,148.31199999999998,27,2,74.78936,27,14.564666601198073,2.769976296296296,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-17,水生根茎类,10.727,154.124,29,2,78.28756,29,14.367856809918896,2.6995710344827586,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-07-18,水生根茎类,7.242,108.96,16,2,54.998400000000004,16,15.045567522783761,3.4374000000000002,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-07-19,水生根茎类,8.204,120.074,17,2,60.83895,17,14.636031204290589,3.5787617647058823,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-07-20,水生根茎类,9.003,129.492,21,2,65.81344,21,14.383205598133953,3.1339733333333335,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,水生根茎类,11.445,191.9014,26,3,111.80805000000001,26,16.767269550021844,4.300309615384616,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-07-22,水生根茎类,9.999,165.5492,27,3,87.34792,27,16.556575657565755,3.2351081481481483,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-07-23,水生根茎类,25.973,196.712,35,3,99.32986,35,7.573711161590882,2.837996,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-24,水生根茎类,10.983,186.1868,27,3,102.53264,27,16.95227169261586,3.797505185185185,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-07-25,水生根茎类,7.516,115.248,17,2,58.77584,17,15.333688131985099,3.457402352941177,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-07-26,水生根茎类,11.031,202.5946,32,3,118.57968,32,18.36593237240504,3.705615,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-07-27,水生根茎类,16.436,231.2828,36,3,145.69638,36,14.071720613287905,4.0471216666666665,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,水生根茎类,13.508,162.096,33,2,97.90991000000001,33,12.000000000000002,2.96696696969697,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
