附件,工作表,字段,缺失数量,处理结论
附件1.xlsx,Sheet1,单品编码,0,无缺失，保留
附件1.xlsx,Sheet1,单品名称,0,无缺失，保留
附件1.xlsx,Sheet1,分类编码,0,无缺失，保留
附件1.xlsx,Sheet1,分类名称,0,无缺失，保留
附件2.xlsx,Sheet1,销售日期,0,无缺失，保留
附件2.xlsx,Sheet1,扫码销售时间,0,无缺失，保留
附件2.xlsx,Sheet1,单品编码,0,无缺失，保留
附件2.xlsx,Sheet1,销量(千克),0,无缺失，保留
附件2.xlsx,Sheet1,销售单价(元/千克),0,无缺失，保留
附件2.xlsx,Sheet1,销售类型,0,无缺失，保留
附件2.xlsx,Sheet1,是否打折销售,0,无缺失，保留
附件3.xlsx,Sheet1,日期,0,无缺失，保留
附件3.xlsx,Sheet1,单品编码,0,无缺失，保留
附件3.xlsx,Sheet1,批发价格(元/千克),0,无缺失，保留
附件4.xlsx,平均损耗率(%)_小分类编码_不同值,小分类编码,0,无缺失，保留
附件4.xlsx,平均损耗率(%)_小分类编码_不同值,小分类名称,0,无缺失，保留
附件4.xlsx,平均损耗率(%)_小分类编码_不同值,平均损耗率(%)_小分类编码_不同值,0,无缺失，保留
附件4.xlsx,Sheet1,单品编码,0,无缺失，保留
附件4.xlsx,Sheet1,单品名称,0,无缺失，保留
附件4.xlsx,Sheet1,损耗率(%),0,无缺失，保留
